,Name,ID
396,Rachel L. Muhlbauer,https://openalex.org/A5084109544
397,J. Dugger,https://openalex.org/A5084176988
398,Edward J. Zaiko,https://openalex.org/A5084352619
399,L. Darden,https://openalex.org/A5084772352
400,Priyam Raut,https://openalex.org/A5084821478
401,Ibrahim Al-Shyoukh,https://openalex.org/A5085289470
402,"Saravanos, Augustinos D.",https://openalex.org/A5085580508
403,Matthew Johnson,https://openalex.org/A5086129323
404,W. R. Hargraves,https://openalex.org/A5086764642
405,M.R. Hirsch,https://openalex.org/A5086998667
406,A. Nielsen,https://openalex.org/A5087220783
407,Clement Smartt,https://openalex.org/A5087910110
408,Beverly Wright,https://openalex.org/A5088286898
409,Jemmy Sutanto Bintoro,https://openalex.org/A5088480905
410,Larry Chan,https://openalex.org/A5088617975
411,S. J. Horowitz,https://openalex.org/A5088936844
412,Gurdev S. Gurdial,https://openalex.org/A5089056274
413,Nathan Blinn,https://openalex.org/A5089210412
414,Jin-Hyun Hwang,https://openalex.org/A5090332468
415,Richard A. Sit,https://openalex.org/A5090373495
416,Fabian Zender,https://openalex.org/A5090383534
417,Keith D. Hodges,https://openalex.org/A5090426729
418,Sivaramakrishnan Sethuraman,https://openalex.org/A5090850209
419,S. Hamed Shams Mousavi,https://openalex.org/A5090860970
420,Dheya M. Al-Fekri,https://openalex.org/A5091107047
421,Aashray Narla,https://openalex.org/A5091342342
422,Joshua Pilipovsky,https://openalex.org/A5091786768
423,E. Moss,https://openalex.org/A5000240469
424,Apinut Sirirojvisuth,https://openalex.org/A5000348867
425,Lejun Cen,https://openalex.org/A5000671773
426,Jan Vlachy,https://openalex.org/A5001109405
427,Justin Ting,https://openalex.org/A5001494168
428,T. J. Jones,https://openalex.org/A5002706756
429,James B. Perkins,https://openalex.org/A5003143081
430,Shengkang Chen,https://openalex.org/A5003194024
431,J. B. Dawson,https://openalex.org/A5003633833
432,John Mack Freeman,https://openalex.org/A5004490290
433,Katie Campbell,https://openalex.org/A5004910901
434,Yaochi Wei,https://openalex.org/A5004945692
435,Amelia E. Taylor,https://openalex.org/A5005080557
436,Jacob Grant,https://openalex.org/A5005340590
437,Andrew C. Redfield,https://openalex.org/A5005488322
438,Nicole Mazouchova,https://openalex.org/A5005540161
439,Jacob Huckaby,https://openalex.org/A5006517443
440,Sungshik Yim,https://openalex.org/A5006710742
441,Jacob A. Kunz,https://openalex.org/A5007014962
442,Janet Wong,https://openalex.org/A5007832351
443,Leah Misemer,https://openalex.org/A5007926474
444,Zhangbo Liu,https://openalex.org/A5008976612
445,Shannon Twigg,https://openalex.org/A5008987625
446,Carolyn Buckley,https://openalex.org/A5009009269
447,Robyn K. Schlicher,https://openalex.org/A5009176515
448,Glen D. Baskett,https://openalex.org/A5009295875
449,V. P. Bennett,https://openalex.org/A5009501835
450,Carol C. Vesier,https://openalex.org/A5009660300
451,Rebecca S. Keith,https://openalex.org/A5009725574
452,Johannes Verberne,https://openalex.org/A5009943479
453,Chia-Yeh Chu,https://openalex.org/A5010177510
454,H. J. Empie,https://openalex.org/A5010243371
455,Eric Beyer,https://openalex.org/A5010402225
456,Alex Endert,https://openalex.org/A5010924554
457,Estelle A. Sandhaus,https://openalex.org/A5011401107
458,Maikel Pennings,https://openalex.org/A5011619899
459,Debra Lam,https://openalex.org/A5011931173
460,Billy S. Smith,https://openalex.org/A5011991346
461,M. Kistenmacher,https://openalex.org/A5012353203
462,Josephine D Kressner,https://openalex.org/A5012366485
463,Chad D. Kersey,https://openalex.org/A5012725183
464,John Seon Keun Yi,https://openalex.org/A5012835137
465,K. Abraham Joseph,https://openalex.org/A5013082473
466,Daniel Serrano-Baquero,https://openalex.org/A5013150332
467,Natalia Lamberova,https://openalex.org/A5013238462
468,Jingfan Meng,https://openalex.org/A5013337954
469,Robert H. Kasriel,https://openalex.org/A5013420469
470,Barry L. West,https://openalex.org/A5013538825
471,Alexander Limia,https://openalex.org/A5013695681
